"month","monthly_average_mpg"
"01 - 2022",6.5076
"02 - 2022",6.4820
"03 - 2022",6.4921
"04 - 2022",6.5140
"05 - 2022",6.4899
"06 - 2022",6.5041
"07 - 2022",6.5141
"08 - 2022",6.5012
"09 - 2022",6.4892
"10 - 2022",6.4900
"11 - 2022",6.4922
"12 - 2022",6.4899
"01 - 2023",6.4899
"02 - 2023",6.5003
"03 - 2023",6.5117
"04 - 2023",6.4813
"05 - 2023",6.4883
"06 - 2023",6.5228
"07 - 2023",6.5171
"08 - 2023",6.5017
"09 - 2023",6.4943
"10 - 2023",6.4832
"11 - 2023",6.4876
"12 - 2023",6.4858
"01 - 2024",6.4820
"02 - 2024",6.4897
"03 - 2024",6.5302
"04 - 2024",6.4942
"05 - 2024",6.5087
"06 - 2024",6.5126
"07 - 2024",6.5048
"08 - 2024",6.5105
"09 - 2024",6.5236
"10 - 2024",6.5161
"11 - 2024",6.5254
"12 - 2024",6.5070
