"truck_id","truck_name","home_terminal","total_miles_per_truck","total_revenue_per_truck","revenue_per_mile"
"TRK00055","2017 / Peterbilt - 6070","Atlanta",1417530.00,2997124.44,2.11
"TRK00041","2015 / International - 3658","Denver",1404001.00,3017320.99,2.15
"TRK00044","2015 / Volvo - 8170","Los Angeles",1403922.00,3045707.57,2.17
"TRK00107","2017 / Mack - 8740","Portland",1389705.00,3022073.78,2.17
"TRK00015","2015 / International - 2531","Memphis",1386604.00,2979377.79,2.15
"TRK00053","2015 / Peterbilt - 9749","Las Vegas",1378108.00,2990269.38,2.17
"TRK00057","2015 / Mack - 4178","Denver",1377066.00,2933620.12,2.13
"TRK00106","2017 / Volvo - 5700","Atlanta",1374432.00,2921375.93,2.13
"TRK00025","2018 / Freightliner - 8967","Dallas",1370297.00,2942525.23,2.15
"TRK00039","2015 / International - 7172","Detroit",1366732.00,2904283.89,2.12
"TRK00024","2015 / Volvo - 6598","Dallas",1362333.00,2938674.70,2.16
"TRK00001","2016 / Peterbilt - 3463","Omaha",1356397.00,2896338.17,2.14
"TRK00020","2015 / Kenworth - 6940","Kansas City",1356271.00,2899114.57,2.14
"TRK00097","2016 / Peterbilt - 7142","Salt Lake City",1351692.00,2891360.42,2.14
"TRK00048","2015 / Volvo - 4891","Las Vegas",1350738.00,2915241.12,2.16
"TRK00016","2015 / Freightliner - 7937","Nashville",1349432.00,2900783.35,2.15
"TRK00035","2015 / International - 9626","Denver",1343802.00,2926212.82,2.18
"TRK00115","2015 / Peterbilt - 4533","Salt Lake City",1341222.00,2868170.34,2.14
"TRK00012","2015 / Freightliner - 6381","Las Vegas",1341215.00,2884165.82,2.15
"TRK00019","2015 / International - 1298","Omaha",1340729.00,2914020.40,2.17
"TRK00050","2015 / Peterbilt - 5668","Columbus",1338947.00,2907686.62,2.17
"TRK00073","2016 / Mack - 2680","Memphis",1338563.00,2872595.75,2.15
"TRK00007","2019 / Volvo - 7421","Charlotte",1336736.00,2887748.17,2.16
"TRK00084","2015 / Freightliner - 2502","New York",1333901.00,2830994.87,2.12
"TRK00031","2018 / Kenworth - 5846","New York",1331252.00,2903626.97,2.18
"TRK00054","2016 / Freightliner - 4918","Los Angeles",1331076.00,2868937.75,2.16
"TRK00086","2015 / Freightliner - 8391","Phoenix",1328872.00,2871427.36,2.16
"TRK00082","2015 / Peterbilt - 3414","Miami",1324616.00,2821632.99,2.13
"TRK00092","2015 / Volvo - 9224","Dallas",1324217.00,2805193.13,2.12
"TRK00043","2019 / Freightliner - 3712","Miami",1321161.00,2844190.80,2.15
"TRK00114","2016 / Volvo - 5193","Las Vegas",1319798.00,2823574.66,2.14
"TRK00111","2015 / Kenworth - 1086","Seattle",1319779.00,2822174.76,2.14
"TRK00070","2015 / Kenworth - 1854","Oklahoma City",1319519.00,2800116.98,2.12
"TRK00069","2016 / Mack - 5096","Dallas",1318110.00,2843417.74,2.16
"TRK00112","2016 / Volvo - 2298","Minneapolis",1316045.00,2827233.72,2.15
"TRK00023","2015 / Peterbilt - 4509","Milwaukee",1315533.00,2831435.86,2.15
"TRK00110","2016 / Peterbilt - 8349","Portland",1313932.00,2810842.18,2.14
"TRK00051","2016 / Mack - 8355","Columbus",1312973.00,2795182.65,2.13
"TRK00067","2015 / International - 4271","Portland",1312608.00,2847869.80,2.17
"TRK00116","2019 / International - 3449","Kansas City",1310738.00,2815781.04,2.15
"TRK00009","2015 / International - 2388","Denver",1310170.00,2832924.83,2.16
"TRK00120","2017 / Volvo - 2821","Kansas City",1309585.00,2826856.93,2.16
"TRK00004","2015 / Freightliner - 3317","Salt Lake City",1309547.00,2803602.13,2.14
"TRK00065","2015 / Freightliner - 7859","Detroit",1307946.00,2798480.13,2.14
"TRK00098","2018 / Peterbilt - 4678","Charlotte",1307617.00,2804668.72,2.14
"TRK00091","2015 / International - 7495","Charlotte",1307376.00,2815186.47,2.15
"TRK00011","2015 / Freightliner - 7171","Portland",1304183.00,2814044.12,2.16
"TRK00085","2015 / Kenworth - 4637","Dallas",1304076.00,2827648.26,2.17
"TRK00105","2015 / Volvo - 1627","Detroit",1300130.00,2799866.01,2.15
"TRK00058","2015 / Mack - 7026","Columbus",1299089.00,2809911.60,2.16
"TRK00074","2015 / Volvo - 9452","Indianapolis",1298052.00,2763786.76,2.13
"TRK00064","2020 / Kenworth - 9641","Atlanta",1296870.00,2791628.59,2.15
"TRK00030","2015 / Volvo - 2264","Salt Lake City",1296417.00,2777367.79,2.14
"TRK00008","2015 / Mack - 3112","Houston",1296410.00,2780589.02,2.14
"TRK00078","2015 / Freightliner - 3626","Phoenix",1296265.00,2791372.50,2.15
"TRK00099","2015 / Freightliner - 1461","Kansas City",1291808.00,2778323.05,2.15
"TRK00068","2020 / Peterbilt - 3267","Omaha",1286649.00,2794211.79,2.17
"TRK00089","2019 / International - 7797","Las Vegas",1286255.00,2780979.56,2.16
"TRK00083","2015 / Kenworth - 8167","Charlotte",1285053.00,2763558.60,2.15
"TRK00072","2017 / Volvo - 7081","Houston",1284159.00,2764998.09,2.15
"TRK00093","2015 / Peterbilt - 7126","Denver",1281778.00,2748259.26,2.14
"TRK00095","2015 / Mack - 7326","Houston",1281742.00,2774709.48,2.16
"TRK00076","2015 / Kenworth - 5670","Nashville",1280075.00,2747737.75,2.15
"TRK00006","2017 / Kenworth - 6082","Minneapolis",1278551.00,2778546.55,2.17
"TRK00010","2015 / Volvo - 6072","Columbus",1278138.00,2777948.15,2.17
"TRK00033","2015 / Mack - 9317","Portland",1274427.00,2738265.04,2.15
"TRK00062","2017 / Mack - 7256","Seattle",1273747.00,2741939.16,2.15
"TRK00029","2016 / International - 3538","Milwaukee",1272712.00,2719155.25,2.14
"TRK00002","2015 / Kenworth - 6461","Seattle",1270572.00,2712361.86,2.13
"TRK00071","2017 / Mack - 8873","Columbus",1269268.00,2741932.00,2.16
"TRK00080","2015 / Volvo - 8361","Miami",1268474.00,2714300.83,2.14
"TRK00061","2018 / International - 5616","Kansas City",1268152.00,2705671.65,2.13
"TRK00049","2015 / Peterbilt - 8277","Minneapolis",1268102.00,2701436.34,2.13
"TRK00113","2015 / Mack - 1311","Seattle",1265996.00,2697325.80,2.13
"TRK00038","2015 / International - 3147","Atlanta",1262396.00,2751437.74,2.18
"TRK00013","2018 / Volvo - 3093","Phoenix",1258508.00,2668794.49,2.12
"TRK00090","2017 / Volvo - 1872","Detroit",1255174.00,2689964.85,2.14
"TRK00026","2021 / International - 4145","Miami",1252565.00,2712784.82,2.17
"TRK00103","2015 / Freightliner - 3392","Los Angeles",1249776.00,2675970.66,2.14
"TRK00045","2015 / Volvo - 1715","New York",1242378.00,2654185.46,2.14
"TRK00101","2015 / Peterbilt - 2623","Philadelphia",1241401.00,2671810.55,2.15
"TRK00052","2015 / Freightliner - 4833","Indianapolis",1241107.00,2716175.17,2.19
"TRK00014","2015 / International - 9624","Nashville",1240298.00,2691574.68,2.17
"TRK00063","2015 / Peterbilt - 9239","Portland",1229384.00,2625773.77,2.14
