"truck_id","truck_name","total_maintenance_cost","cost_per_mile","total_downtime_hours","maintenance_events"
"TRK00073","2016 / Mack - 2680",2756663.64,0.0528,35866.80,1404
"TRK00099","2015 / Freightliner - 1461",2636343.72,0.0600,26773.20,1224
"TRK00014","2015 / International - 9624",2584865.52,0.0613,33854.40,1224
"TRK00026","2021 / International - 4145",2545505.28,0.0635,28364.40,1152
"TRK00044","2015 / Volvo - 8170",2513708.28,0.0471,38894.40,1368
"TRK00038","2015 / International - 3147",2483609.04,0.0635,28670.40,1116
"TRK00040","2015 / International - 3527",2432078.64,0.0794,23943.60,936
"TRK00033","2015 / Mack - 9317",2430519.48,0.0596,32695.20,1152
"TRK00052","2015 / Freightliner - 4833",2295259.56,0.0597,26542.80,1116
"TRK00071","2017 / Mack - 8873",2221075.80,0.0564,27414.00,1116
"TRK00055","2017 / Peterbilt - 6070",2175599.52,0.0529,24822.00,1044
"TRK00041","2015 / International - 3658",2148668.64,0.0612,18889.20,900
"TRK00062","2017 / Mack - 7256",2147279.04,0.0544,31035.60,1116
"TRK00091","2015 / International - 7495",2141677.08,0.0630,21430.80,936
"TRK00013","2018 / Volvo - 3093",2086241.76,0.0488,31266.00,1224
"TRK00057","2015 / Mack - 4178",2079141.84,0.0604,23443.20,900
"TRK00065","2015 / Freightliner - 7859",2070597.60,0.0609,21232.80,936
"TRK00106","2017 / Volvo - 5700",2068484.76,0.0557,25909.20,972
"TRK00020","2015 / Kenworth - 6940",2051674.20,0.0560,25624.80,972
"TRK00111","2015 / Kenworth - 1086",2035176.84,0.0551,22150.80,1008
"TRK00050","2015 / Peterbilt - 5668",2015664.48,0.0519,24757.20,1044
"TRK00112","2016 / Volvo - 2298",1993735.08,0.0583,22892.40,936
"TRK00103","2015 / Freightliner - 3392",1979503.92,0.0546,26899.20,1044
"TRK00002","2015 / Kenworth - 6461",1975285.44,0.0576,23950.80,972
"TRK00054","2016 / Freightliner - 4918",1969280.28,0.0493,24530.40,1080
"TRK00090","2017 / Volvo - 1872",1938629.52,0.0572,20278.80,972
"TRK00030","2015 / Volvo - 2264",1919806.56,0.0529,24462.00,1008
"TRK00115","2015 / Peterbilt - 4533",1894885.56,0.0456,27644.40,1116
"TRK00001","2016 / Peterbilt - 3463",1863935.64,0.0573,25675.20,864
"TRK00031","2018 / Kenworth - 5846",1839506.40,0.0576,20862.00,864
"TRK00006","2017 / Kenworth - 6082",1828109.88,0.0550,21157.20,936
"TRK00010","2015 / Volvo - 6072",1814641.92,0.0568,21711.60,900
"TRK00053","2015 / Peterbilt - 9749",1810700.28,0.0487,22860.00,972
"TRK00095","2015 / Mack - 7326",1804595.04,0.0670,15825.60,756
"TRK00072","2017 / Volvo - 7081",1803733.20,0.0468,25221.60,1080
"TRK00051","2016 / Mack - 8355",1799707.32,0.0596,20782.80,828
"TRK00108","2015 / Volvo - 3273",1793876.40,0.0499,27010.80,1080
"TRK00120","2017 / Volvo - 2821",1779782.04,0.0523,26377.20,936
"TRK00023","2015 / Peterbilt - 4509",1777171.32,0.0520,21625.20,936
"TRK00078","2015 / Freightliner - 3626",1761439.32,0.0469,30225.60,1044
"TRK00085","2015 / Kenworth - 4637",1757255.76,0.0449,28483.20,1080
"TRK00068","2020 / Peterbilt - 3267",1756941.84,0.0525,22762.80,936
"TRK00039","2015 / International - 7172",1712920.68,0.0522,20052.00,864
"TRK00063","2015 / Peterbilt - 9239",1680085.44,0.0506,24292.80,972
"TRK00011","2015 / Freightliner - 7171",1672726.68,0.0558,23637.60,828
"TRK00064","2020 / Kenworth - 9641",1666668.96,0.0584,18367.20,792
"TRK00058","2015 / Mack - 7026",1646835.84,0.0634,14936.40,720
"TRK00067","2015 / International - 4271",1633510.08,0.0429,27273.60,1044
"TRK00045","2015 / Volvo - 1715",1628895.24,0.0570,20563.20,828
"TRK00080","2015 / Volvo - 8361",1616206.32,0.0607,18158.40,756
"TRK00025","2018 / Freightliner - 8967",1586956.32,0.0504,20523.60,828
"TRK00061","2018 / International - 5616",1583768.88,0.0520,19094.40,864
"TRK00105","2015 / Volvo - 1627",1557149.04,0.0399,29008.80,1080
"TRK00048","2015 / Volvo - 4891",1554737.76,0.0576,20995.20,720
"TRK00086","2015 / Freightliner - 8391",1546332.48,0.0582,15584.40,720
"TRK00024","2015 / Volvo - 6598",1533320.28,0.0512,25398.00,792
"TRK00018","2015 / International - 6928",1527506.64,0.0512,23922.00,900
"TRK00092","2015 / Volvo - 9224",1500160.32,0.0472,15609.60,864
"TRK00093","2015 / Peterbilt - 7126",1499620.32,0.0468,20340.00,900
"TRK00110","2016 / Peterbilt - 8349",1498812.84,0.0439,22849.20,936
"TRK00098","2018 / Peterbilt - 4678",1487482.20,0.0632,16570.80,648
"TRK00035","2015 / International - 9626",1474282.80,0.0577,18604.80,684
"TRK00043","2019 / Freightliner - 3712",1471228.92,0.0586,17589.60,684
"TRK00096","2018 / Kenworth - 2337",1463489.64,0.0521,18543.60,828
"TRK00009","2015 / International - 2388",1452018.24,0.0583,18802.80,684
"TRK00012","2015 / Freightliner - 6381",1451785.68,0.0515,16203.60,756
"TRK00082","2015 / Peterbilt - 3414",1446540.12,0.0437,21672.00,900
"TRK00029","2016 / International - 3538",1431961.56,0.0489,19443.60,828
"TRK00097","2016 / Peterbilt - 7142",1431314.64,0.0623,15544.80,612
"TRK00116","2019 / International - 3449",1430526.24,0.0606,13183.20,648
"TRK00079","2015 / Mack - 5469",1417168.44,0.0539,20606.40,792
"TRK00060","2015 / Freightliner - 8564",1411193.52,0.0448,23090.40,936
"TRK00004","2015 / Freightliner - 3317",1388225.52,0.0482,17395.20,792
"TRK00016","2015 / Freightliner - 7937",1312129.80,0.0540,15735.60,648
"TRK00070","2015 / Kenworth - 1854",1301123.52,0.0657,11077.20,540
"TRK00114","2016 / Volvo - 5193",1266742.80,0.0505,16902.00,684
"TRK00069","2016 / Mack - 5096",1264571.64,0.0533,13201.20,648
"TRK00113","2015 / Mack - 1311",1258389.36,0.0497,17114.40,720
"TRK00084","2015 / Freightliner - 2502",1250776.44,0.0552,13392.00,612
"TRK00059","2015 / Mack - 8218",1244908.80,0.0568,16200.00,648
"TRK00089","2019 / International - 7797",1214296.92,0.0450,22010.40,756
"TRK00015","2015 / International - 2531",1213630.20,0.0417,20250.00,756
"TRK00049","2015 / Peterbilt - 8277",1196835.48,0.0590,12232.80,576
"TRK00074","2015 / Volvo - 9452",1189614.60,0.0573,16531.20,576
"TRK00008","2015 / Mack - 3112",1188890.64,0.0483,17388.00,684
"TRK00101","2015 / Peterbilt - 2623",1183182.48,0.0530,14558.40,648
"TRK00107","2017 / Mack - 8740",1120725.00,0.0474,12283.20,612
"TRK00076","2015 / Kenworth - 5670",1084795.56,0.0498,14000.40,612
"TRK00019","2015 / International - 1298",1031837.40,0.0481,12135.60,576
"TRK00036","2020 / Peterbilt - 1618",990806.76,0.0587,11660.40,504
"TRK00007","2019 / Volvo - 7421",931282.92,0.0348,14965.20,720
"TRK00083","2015 / Kenworth - 8167",428266.08,0.0333,8924.40,360
"TRK00003","2018 / Peterbilt - 2335",90161.42,NULL,1133.10,41
"TRK00081","2018 / Freightliner - 9410",73892.72,NULL,711.70,32
"TRK00075","2015 / Mack - 3042",71073.64,NULL,751.90,30
"TRK00118","2015 / Freightliner - 9647",71005.77,NULL,917.30,35
"TRK00032","2015 / Mack - 2657",68762.34,NULL,814.30,31
"TRK00088","2015 / Peterbilt - 1436",66959.88,NULL,707.50,26
"TRK00005","2016 / Freightliner - 6731",66088.45,NULL,750.60,33
"TRK00046","2015 / Freightliner - 7731",57517.48,NULL,974.50,29
"TRK00077","2015 / Kenworth - 2374",55767.83,NULL,681.40,26
"TRK00034","2015 / Freightliner - 9843",52843.72,NULL,710.80,31
"TRK00022","2017 / Kenworth - 3953",48894.75,NULL,592.10,26
"TRK00042","2019 / International - 3962",48687.47,NULL,496.40,23
"TRK00100","2015 / Mack - 6221",47941.29,NULL,613.20,23
"TRK00017","2017 / Mack - 9331",46265.84,NULL,510.00,20
"TRK00104","2018 / Peterbilt - 3254",44728.90,NULL,539.60,25
"TRK00027","2015 / Peterbilt - 4711",44230.56,NULL,599.30,24
"TRK00028","2015 / Kenworth - 3253",43892.35,NULL,439.10,19
"TRK00119","2015 / Mack - 7934",43409.10,NULL,489.60,24
"TRK00037","2018 / Freightliner - 6517",41154.92,NULL,582.60,21
"TRK00056","2015 / Kenworth - 8684",39387.64,NULL,536.30,20
"TRK00109","2015 / Volvo - 8685",38929.71,NULL,483.30,19
"TRK00102","2015 / Peterbilt - 6493",38928.81,NULL,567.50,23
"TRK00021","2018 / Mack - 6060",38803.04,NULL,641.10,21
"TRK00087","2015 / Peterbilt - 6727",37807.28,NULL,425.30,20
"TRK00094","2015 / Freightliner - 4862",36539.82,NULL,421.30,16
"TRK00066","2015 / Peterbilt - 3655",33670.70,NULL,660.30,21
"TRK00047","2015 / Mack - 6968",28243.39,NULL,397.20,16
"TRK00117","2015 / Peterbilt - 9991",25579.03,NULL,271.00,15
