"route_id","lane_name","distance_in_miles","total_revenue","total_fuel_cost","gross_revenue_after_fuel","fuel_cost_as_pct_of_revenue"
"RTE00029","Seattle to Charlotte",2623.00,27352561.47,5807293.88,21545267.59,78.77
"RTE00044","Charlotte to Portland",2627.00,26702053.87,5222024.42,21480029.45,80.44
"RTE00048","Columbus to Portland",2332.00,25705232.37,4990229.93,20715002.44,80.59
"RTE00012","Phoenix to Philadelphia",2389.00,25306613.18,5126195.52,20180417.66,79.74
"RTE00016","Philadelphia to Seattle",2729.00,25754092.81,5603606.94,20150485.87,78.24
"RTE00046","Columbus to Los Angeles",2269.00,24880792.61,4970877.58,19909915.03,80.02
"RTE00042","Charlotte to Seattle",2623.00,23675717.47,5425770.99,18249946.48,77.08
"RTE00030","Seattle to Indianapolis",2147.00,21421345.72,4512781.53,16908564.19,78.93
"RTE00003","Chicago to Los Angeles",2003.00,20484667.84,4257717.68,16226950.16,79.22
"RTE00021","Houston to Portland",2108.00,20664852.61,4462067.45,16202785.16,78.41
"RTE00034","Portland to Columbus",2332.00,20734445.93,4982241.85,15752204.08,75.97
"RTE00025","Miami to Seattle",3141.00,20321363.60,6578217.69,13743145.91,67.63
"RTE00005","Chicago to Las Vegas",1749.00,17344620.17,3852325.74,13492294.43,77.79
"RTE00032","Portland to Detroit",2259.00,18196640.72,4925111.48,13271529.24,72.93
"RTE00007","Dallas to New York",1576.00,16379766.74,3365728.16,13014038.58,79.45
"RTE00040","Minneapolis to Los Angeles",1749.00,16525468.21,3629782.96,12895685.25,78.04
"RTE00056","Kansas City to Portland",1718.00,16391730.19,3611810.91,12779919.28,77.97
"RTE00028","Seattle to Houston",2172.00,17283194.79,4734587.90,12548606.89,72.61
"RTE00020","Houston to Seattle",2172.00,16663678.44,4635667.51,12028010.93,72.18
"RTE00055","Kansas City to Miami",1429.00,13714758.94,2917100.16,10797658.78,78.73
"RTE00038","Las Vegas to Kansas City",1311.00,13392682.57,2668227.09,10724455.48,80.08
"RTE00037","Las Vegas to New York",2561.00,15712669.55,5245360.63,10467308.92,66.62
"RTE00004","Chicago to Portland",2017.00,14418965.94,4158918.85,10260047.09,71.16
"RTE00051","Memphis to Los Angeles",1840.00,14159965.08,3972470.69,10187494.39,71.95
"RTE00041","Minneapolis to Houston",1216.00,12539698.10,2470130.33,10069567.77,80.30
"RTE00024","Miami to Philadelphia",1175.00,12345047.44,2566139.61,9778907.83,79.21
"RTE00026","Miami to Denver",1984.00,13572170.43,4000372.11,9571798.32,70.53
"RTE00054","Kansas City to Los Angeles",1557.00,12401684.24,3291359.15,9110325.09,73.46
"RTE00019","Houston to Detroit",1271.00,11620997.07,2564331.61,9056665.46,77.93
"RTE00023","Miami to Dallas",1276.00,11127109.55,2618982.66,8508126.89,76.46
"RTE00027","Detroit to Houston",1271.00,11013799.02,2748168.78,8265630.24,75.05
"RTE00014","Phoenix to Kansas City",1204.00,10120399.57,2535612.10,7584787.47,74.95
"RTE00057","Kansas City to Charlotte",921.00,9016798.80,1895088.98,7121709.82,78.98
"RTE00039","Minneapolis to Atlanta",1044.00,8903811.32,2141894.25,6761917.07,75.94
"RTE00017","Philadelphia to Minneapolis",1130.00,8944604.36,2416756.45,6527847.91,72.98
"RTE00043","Charlotte to Denver",1559.00,9716835.46,3309550.66,6407284.80,65.94
"RTE00008","Dallas to Denver",762.00,7662432.96,1597355.04,6065077.92,79.15
"RTE00035","Las Vegas to Dallas",1229.00,8511436.01,2509728.87,6001707.14,70.51
"RTE00049","Columbus to Minneapolis",720.00,7269597.79,1470456.11,5799141.68,79.77
"RTE00053","Kansas City to Atlanta",777.00,7091827.15,1552712.66,5539114.49,78.11
"RTE00009","Dallas to Indianapolis",878.00,6825539.03,1838979.52,4986559.51,73.06
"RTE00031","Denver to Kansas City",640.00,6011583.37,1397318.94,4614264.43,76.76
"RTE00006","Chicago to Charlotte",675.00,5955866.73,1410021.85,4545844.88,76.33
"RTE00045","Charlotte to Memphis",597.00,5822674.15,1282345.58,4540328.57,77.98
"RTE00002","Atlanta to Miami",697.00,5989363.99,1483833.52,4505530.48,75.23
"RTE00050","Columbus to Kansas City",712.00,5819667.14,1522924.17,4296742.97,73.83
"RTE00052","Memphis to Minneapolis",804.00,6008416.80,1754640.19,4253776.61,70.80
"RTE00018","Philadelphia to Indianapolis",670.00,5597330.79,1355675.57,4241655.22,75.78
"RTE00058","Kansas City to Indianapolis",519.00,4586493.20,1049968.85,3536524.35,77.11
"RTE00022","Houston to Memphis",557.00,4462055.16,1134304.48,3327750.68,74.58
"RTE00013","Phoenix to Denver",673.00,4693950.82,1375540.44,3318410.38,70.70
"RTE00001","Atlanta to Chicago",677.00,4670040.77,1385535.55,3284505.22,70.33
"RTE00047","Columbus to Philadelphia",476.00,4354610.11,1083672.53,3270937.58,75.11
"RTE00011","New York to Columbus",547.00,4063799.62,1180219.67,2883579.95,70.96
"RTE00036","Las Vegas to Los Angeles",262.00,3089136.13,573107.49,2516028.64,81.45
"RTE00033","Portland to Seattle",167.00,1855966.20,354992.97,1500973.23,80.87
"RTE00015","Philadelphia to New York",92.00,1284599.90,207582.31,1077017.59,83.84
"RTE00010","New York to Philadelphia",92.00,830027.00,192502.09,637524.91,76.81
