"month","total_loads_per_month","monthly_revenue","avg_revenue"
"2022-01-01 00:00:00-08",2466,7566361.99,3068.27
"2022-02-01 00:00:00-08",2179,6574259.06,3017.10
"2022-03-01 00:00:00-08",2370,7401197.05,3122.87
"2022-04-01 00:00:00-07",2346,7156041.22,3050.32
"2022-05-01 00:00:00-07",2428,7518061.33,3096.40
"2022-06-01 00:00:00-07",2376,7325637.69,3083.18
"2022-07-01 00:00:00-07",2421,7380097.23,3048.37
"2022-08-01 00:00:00-07",2496,7716839.57,3091.68
"2022-09-01 00:00:00-07",2304,7108889.83,3085.46
"2022-10-01 00:00:00-07",2468,7501831.55,3039.64
"2022-11-01 00:00:00-07",2360,7260206.36,3076.36
"2022-12-01 00:00:00-08",2375,7341477.11,3091.15
"2023-01-01 00:00:00-08",2437,7428081.31,3048.04
"2023-02-01 00:00:00-08",2136,6618783.00,3098.68
"2023-03-01 00:00:00-08",2412,7509745.70,3113.49
"2023-04-01 00:00:00-07",2336,7289831.14,3120.65
"2023-05-01 00:00:00-07",2348,7243795.22,3085.09
"2023-06-01 00:00:00-07",2312,7278443.23,3148.12
"2023-07-01 00:00:00-07",2433,7576414.14,3114.02
"2023-08-01 00:00:00-07",2344,7194393.58,3069.28
"2023-09-01 00:00:00-07",2327,7018436.20,3016.09
"2023-10-01 00:00:00-07",2397,7406523.72,3089.91
"2023-11-01 00:00:00-07",2364,7235373.47,3060.65
"2023-12-01 00:00:00-08",2319,7155728.93,3085.70
"2024-01-01 00:00:00-08",2401,7386201.05,3076.30
"2024-02-01 00:00:00-08",2267,6970220.94,3074.65
"2024-03-01 00:00:00-08",2431,7453599.00,3066.06
"2024-04-01 00:00:00-07",2354,7122948.73,3025.89
"2024-05-01 00:00:00-07",2442,7569586.95,3099.75
"2024-06-01 00:00:00-07",2418,7489030.25,3097.20
"2024-07-01 00:00:00-07",2394,7310741.99,3053.78
"2024-08-01 00:00:00-07",2426,7349694.49,3029.55
"2024-09-01 00:00:00-07",2339,7145569.37,3054.97
"2024-10-01 00:00:00-07",2474,7497105.73,3030.36
"2024-11-01 00:00:00-07",2357,7095885.93,3010.56
"2024-12-01 00:00:00-08",2353,7328766.23,3114.65
